alcohol,volatile acidity,sulphates,quality
9.7,0.31,0.67,6
9.5,0.56,0.93,5
10.5,0.4,0.63,6
10.0,0.54,0.61,6
9.0,1.07,0.57,5
10.9,0.55,0.6,6
9.2,0.695,0.52,5
9.5,0.5,0.48,5
10.9,1.33,0.49,5
10.9,1.33,0.48,5
10.5,0.59,0.92,7
9.4,0.745,0.66,5
13.0,0.5,0.63,5
9.9,1.04,0.55,6
9.6,0.745,0.82,5
9.2,0.415,0.64,5
9.6,0.745,0.82,5
14.0,0.34,0.79,6
9.4,0.39,0.58,5
14.0,0.34,0.79,6
9.4,0.67,0.62,5
10.0,0.68,0.52,5
10.2,0.49,0.58,6
10.3,0.33,0.53,6
9.4,0.52,2.0,4
10.1,0.6,0.54,5
10.1,0.6,0.54,5
10.5,0.43,0.71,5
10.5,0.43,0.72,5
10.5,0.43,0.71,5
9.3,0.68,0.5,5
9.3,0.6,0.57,6
9.6,0.95,0.56,5
9.2,0.68,1.08,4
10.0,0.53,0.56,6
9.4,0.6,0.49,5
9.4,0.59,0.49,5
9.5,0.63,0.62,5
10.2,0.64,0.52,5
9.0,0.55,0.48,4
10.4,0.63,0.55,6
9.1,0.885,0.33,4
9.2,0.42,0.61,6
11.5,0.62,0.57,6
9.5,0.5,0.78,5
9.5,0.38,0.47,5
10.5,0.52,0.61,6
9.6,0.805,0.56,5
9.5,0.61,0.59,5
9.5,0.61,0.59,5
9.3,0.61,1.02,5
9.3,0.73,0.52,5
9.3,0.61,0.58,5
9.3,0.62,0.58,6
9.7,0.31,0.53,5
9.2,0.39,0.55,5
9.5,0.5,0.55,5
9.4,0.5,0.62,5
9.8,0.37,0.62,6
9.7,0.55,0.55,5
9.7,0.55,0.55,5
10.2,0.58,0.59,5
10.1,0.3,0.97,6
11.4,1.09,0.43,4
10.3,0.32,0.82,7
9.2,0.43,0.56,6
10.8,0.3,0.77,7
10.8,0.3,0.77,7
9.4,0.44,0.67,5
12.4,0.53,0.86,6
10.0,0.725,0.56,6
10.1,0.57,0.43,5
9.8,0.735,0.71,6
10.5,0.49,0.76,5
11.0,0.625,0.57,5
9.1,0.725,0.55,5
9.7,0.49,0.54,5
9.4,0.34,0.59,6
9.4,0.53,0.57,5
9.5,0.61,0.6,5
10.0,0.645,0.6,6
10.5,0.43,0.58,6
9.5,0.59,1.61,6
12.2,0.48,0.62,7
9.9,0.38,0.52,6
9.6,0.37,0.7,6
9.0,1.0,0.55,6
9.0,0.63,0.58,6
9.3,0.635,1.09,5
10.9,0.38,0.71,6
9.8,0.58,0.49,6
9.2,0.21,0.84,7
9.2,0.21,0.84,7
9.9,0.66,0.96,6
9.5,0.68,0.52,5
9.9,0.66,0.96,6
10.0,0.32,0.78,6
9.9,0.6,0.7,6
10.5,0.35,0.53,5
9.5,0.775,0.59,5
9.3,0.57,0.57,5
9.2,0.34,0.62,5
9.2,0.695,0.67,5
9.4,0.41,1.26,5
10.5,0.31,0.8,7
9.3,0.33,0.65,5
9.4,0.975,0.6,4
10.0,0.52,0.57,5
9.3,0.37,0.67,5
10.9,0.56,0.87,5
9.8,0.87,0.72,4
12.8,0.35,0.86,8
9.4,0.54,0.91,6
10.1,0.18,0.97,6
10.7,0.545,0.67,6
10.7,0.545,0.67,6
9.4,0.54,0.91,6
10.1,0.18,0.97,6
12.6,0.32,0.82,8
10.5,0.4,0.77,7
9.3,0.26,0.82,6
9.9,0.27,1.08,7
10.5,0.4,0.77,7
9.8,0.59,0.71,5
9.8,0.59,0.71,5
10.3,0.45,0.76,6
10.3,0.4,0.7,6
10.6,0.52,0.86,7
9.2,0.42,0.95,5
10.6,0.52,0.86,7
10.3,0.55,0.64,6
10.1,0.36,0.6,6
9.5,0.34,0.81,6
9.5,0.5,0.64,5
9.9,0.83,0.52,5
9.6,0.63,0.73,5
9.7,0.65,0.8,5
10.7,0.53,0.59,6
10.1,0.18,0.64,6
10.0,0.705,0.72,5
9.2,0.65,0.52,5
9.4,0.62,0.52,5
9.5,0.41,0.62,6
9.5,0.43,0.63,6
9.4,0.53,0.54,6
9.5,0.46,0.63,6
9.4,0.47,0.53,5
11.0,0.36,0.68,5
11.5,0.66,0.71,7
10.4,0.77,0.64,6
9.7,0.61,0.62,5
9.2,0.49,0.69,6
9.2,0.49,0.69,6
11.5,0.53,0.74,7
11.5,0.44,0.83,5
9.7,0.27,0.67,6
11.0,0.56,0.52,5
11.7,0.65,0.74,7
12.2,0.695,0.84,7
12.5,0.43,0.7,6
10.3,0.43,0.64,5
9.8,0.28,1.36,7
9.8,0.39,0.75,6
9.8,0.39,0.75,6
10.7,0.57,0.78,6
12.0,0.49,0.93,6
10.0,0.56,0.92,6
9.4,0.795,0.83,6
9.3,0.665,0.73,5
13.0,0.53,0.77,5
11.9,0.21,0.59,6
